crop_type,yield_per_acre,sowing_date,harvest_date,soil_nutrient_levels,rainfall,temperature,farmer_id,subsidy_amount,disbursement_date,soil type,crop name,location,Amount paid,Water usage(Litres),Electricity,Workers,Number of Acres
soybeans,5.27,6/19/2020,9/24/2022,high,38.57,109.22,405,781.47,7/24/2021,Clayey,Soybean,Karnataka,1626,967,TRUE,5,746
corn,73.69,8/13/2020,10/31/2020,high,11.92,70.68,406,3058.51,6/25/2021,Loamy,Peanut,Andhra Pradesh,8734,742,TRUE,1,98
cotton,64.97,04-05-2021,8/29/2021,high,19.32,115.13,407,7208.19,05-07-2020,Laterite,Onion,Karnataka,6512,645,TRUE,7,827
soybeans,83.71,10/14/2020,06-03-2021,medium,15.92,84.26,408,9948.68,10-08-2021,Red,Tur (Pigeon Pea),Uttar Pradesh,5252,921,TRUE,6,442
cotton,9.45,11/27/2022,09-06-2021,low,5.74,21.07,409,2068.6,5/24/2020,Saline,Onion,Rajasthan,2311,550,FALSE,6,975
cotton,45.07,04-04-2020,11/18/2022,medium,9,11.92,410,2395.39,4/20/2021,Mountain,Bajra (Pearl Millet),Telangana,3103,815,FALSE,6,870
rice,70.48,9/13/2020,4/20/2020,low,44.04,107.21,411,8522.43,04-03-2020,Desert,Jute,Maharashtra,5710,926,TRUE,6,499
soybeans,49.5,2/13/2021,01-03-2021,low,38.73,104.82,412,3968.06,08-06-2020,Saline,Wheat,Assam,6368,677,FALSE,10,307
corn,80.42,10/25/2020,6/23/2022,low,39.22,106.55,413,3256.76,9/22/2020,Red,Cashew,Jammu and Kashmir,603,369,FALSE,10,400
corn,22.91,04-05-2022,1/14/2021,low,27.57,89.43,414,220.49,04-01-2020,Alluvial,Barley,Telangana,8758,112,FALSE,5,48
rice,72.65,6/14/2021,12-06-2021,high,17.16,81.42,415,3101.61,5/21/2020,Loamy,Cotton,Gujarat,6369,180,FALSE,10,507
rice,85.09,07-02-2022,10-08-2021,high,3.16,0.04,416,1134.38,01-03-2020,Laterite,Vegetables,Bihar,7523,583,FALSE,10,974
rice,89.13,9/21/2020,11-11-2021,high,1.35,9.37,417,5242.35,5/26/2020,Saline,Coffee,Gujarat,7457,473,FALSE,8,599
wheat,95.32,6/22/2022,12/19/2020,medium,5.3,72.09,418,3797.7,09-09-2020,Peaty,Cumin,Madhya Pradesh,6068,670,TRUE,3,80
corn,52.09,9/20/2021,6/19/2021,medium,20.23,75.69,419,9940.97,5/27/2022,Loamy,Soybean,Kerala,5992,701,TRUE,9,32
rice,56.3,04-02-2022,03-08-2022,high,31.39,105.17,420,3280.47,01-08-2021,Peaty,Vegetables,Punjab,9479,624,TRUE,8,711
wheat,63.11,01-12-2020,09-02-2021,medium,2.4,77.67,421,3045.6,9/25/2020,Clayey,Chili,Kerala,8113,237,FALSE,9,205
corn,3.47,04-06-2022,8/13/2021,medium,6.88,12.82,422,5436.17,03-08-2022,Loamy,Peanut,Himachal Pradesh,5292,339,TRUE,8,795
wheat,21.89,09-04-2020,9/17/2022,medium,15.53,76.27,423,5060.69,05-03-2022,Laterite,Barley,West Bengal,5032,134,FALSE,8,366
corn,51.8,08-07-2021,03-03-2020,medium,18.5,50.04,424,1992.17,3/19/2020,Mountain,Sorghum,Maharashtra,4922,487,TRUE,9,255
soybeans,39.06,7/23/2022,12/25/2020,high,7.88,38.17,425,9079.9,1/26/2021,Saline,Tea,Tamil Nadu,3039,422,TRUE,9,573
corn,2.92,1/18/2021,3/15/2020,high,36.89,111.41,426,9048.29,1/16/2020,Mountain,Coffee,Telangana,6863,498,FALSE,10,647
cotton,48.99,5/17/2021,5/31/2021,medium,48.23,0.1,427,6019.16,1/29/2020,Loamy,Plum,Assam,3180,967,TRUE,5,582
cotton,0.37,01-04-2021,11/16/2020,low,26.05,115.85,428,366.51,01-02-2021,Mountain,Chili,Gujarat,6019,497,FALSE,10,563
cotton,52.84,12/16/2021,1/24/2021,low,0.88,1.59,429,7298.96,10-05-2020,Laterite,Guar,Assam,3680,673,FALSE,7,349
wheat,93.53,03-11-2020,1/22/2022,low,38.29,13.74,430,5406.08,8/14/2021,Red,Chili,Tamil Nadu,496,967,FALSE,2,741
soybeans,65.03,4/27/2022,07-01-2021,low,42.37,82.92,431,4675,6/27/2022,Mountain,Vegetables,Rajasthan,9562,572,FALSE,3,477
wheat,39.53,10/24/2021,1/13/2022,medium,43.08,0.24,432,2184.59,04-07-2022,Red,Cashew,Karnataka,5409,391,TRUE,4,450
corn,91.9,01-03-2021,10/20/2021,high,19.99,5.28,433,7886.81,12/29/2022,Clayey,Chickpea,Maharashtra,2912,276,FALSE,10,120
soybeans,25.3,5/29/2022,10/28/2021,medium,19.73,-1.7,434,8154.09,03-10-2021,Saline,Cashew,Maharashtra,7093,910,TRUE,1,397
cotton,90.07,10/22/2020,5/31/2021,medium,11.27,16.82,435,3062.22,4/25/2020,Laterite,Mustard,Chhattisgarh,2163,984,TRUE,3,702
cotton,47.11,7/28/2022,2/27/2020,high,0.43,50.36,436,8775.2,2/26/2021,Alluvial,Peanut,Rajasthan,3534,610,FALSE,3,470
soybeans,93.84,2/24/2020,12-05-2022,high,18.45,114.18,437,3929.83,08-06-2020,Black,Date Palm,Assam,3184,861,FALSE,5,54
rice,11.82,02-03-2020,2/14/2021,medium,24.92,32.9,438,9586,3/21/2022,Loamy,Areca nut,Maharashtra,1446,516,TRUE,8,756
corn,85.57,04-12-2022,02-10-2022,low,1.53,-14.43,439,3998.29,9/30/2021,Desert,Tur (Pigeon Pea),Punjab,7454,929,TRUE,2,719
cotton,38.81,9/27/2021,4/23/2020,low,6.84,40.09,440,7536.88,08-07-2021,Peaty,Millets,Odisha,1877,577,TRUE,6,134
soybeans,74.34,07-09-2020,3/26/2020,low,13.58,50.71,441,9341.64,7/18/2020,Loamy,Bajra (Pearl Millet),West Bengal,3631,11,TRUE,8,732
wheat,89.17,11/30/2022,1/30/2022,high,28.49,34.41,442,5161.33,8/22/2022,Clayey,Cumin,Karnataka,4556,12,TRUE,3,422
wheat,86.7,4/22/2020,3/29/2020,medium,13.72,29.52,443,1568.84,6/30/2022,Black,Jute,Kerala,2147,939,TRUE,3,223
wheat,79.79,11-05-2022,9/16/2021,low,21.18,96.89,444,5421.06,1/22/2021,Mountain,Date Palm,Karnataka,1606,907,FALSE,4,962
cotton,47.98,1/31/2022,5/17/2021,low,29.75,101.98,445,570.04,01-03-2020,Clayey,Apple,Punjab,6085,567,FALSE,3,899
cotton,91.61,05-03-2021,05-04-2022,medium,38.58,67.67,446,3069.88,10-11-2022,Laterite,Onion,Uttar Pradesh,7494,282,TRUE,8,79
rice,89.27,8/21/2020,5/19/2022,high,11.11,86.84,447,307.86,7/24/2022,Black,Groundnut,West Bengal,7855,971,TRUE,4,584
cotton,83.14,6/13/2020,4/27/2021,low,46.96,25.99,448,9721.77,5/24/2020,Loamy,Cabbage,Tamil Nadu,6965,485,FALSE,4,706
corn,96.56,7/30/2022,8/25/2022,medium,2.32,-6.67,449,3677.57,9/13/2022,Saline,Tea,Tamil Nadu,6629,386,TRUE,8,528
wheat,96.27,11-07-2022,06-04-2022,high,21.04,41.52,450,7293.04,6/24/2021,Black,Sunflower,Rajasthan,8987,577,FALSE,5,950
soybeans,29.84,11-03-2020,06-07-2020,medium,2.86,94.61,451,9703.76,1/28/2021,Peaty,Groundnut,Bihar,5659,399,TRUE,8,762
corn,22.09,2/14/2020,2/13/2022,low,14.45,83.42,452,7495.25,4/27/2021,Saline,Lentil,Uttarakhand,4064,173,FALSE,7,967
corn,56,08-03-2021,07-01-2020,low,0.51,-14.86,453,3783.43,03-05-2020,Black,Pulses,Himachal Pradesh,5570,462,FALSE,2,412
rice,51.27,3/17/2022,01-11-2021,low,14.11,2.35,454,442.86,08-09-2021,Clayey,Lentil,Chhattisgarh,6239,335,TRUE,1,840
cotton,93.31,6/18/2020,6/29/2020,high,6.44,79.99,455,7508.97,11-04-2022,Laterite,Potato,Haryana,2100,105,TRUE,2,581
cotton,26.49,07-10-2022,07-06-2021,high,43.39,58.95,456,4742.15,5/25/2022,Alluvial,Groundnut,Uttar Pradesh,7579,839,FALSE,7,127
corn,61.23,11-02-2022,12-04-2021,high,47.48,9.31,457,5670.71,4/21/2022,Clayey,Cashew,Kerala,2690,618,TRUE,9,902
corn,85.47,08-01-2020,2/19/2020,medium,31.14,36.07,458,3311.66,4/30/2021,Peaty,Jute,Telangana,3073,538,FALSE,7,600
cotton,43.23,1/18/2021,02-02-2022,high,25.31,-12.53,459,6244.66,08-01-2020,Peaty,Soybean,Madhya Pradesh,445,744,FALSE,9,650
cotton,25.91,11-06-2020,11/27/2021,high,4.24,110.98,460,4031.4,3/19/2021,Alluvial,Tur (Pigeon Pea),Telangana,9577,569,TRUE,5,605
wheat,87.47,01-02-2020,6/14/2021,low,21.88,-17.86,461,886.6,09-07-2021,Alluvial,Onion,Assam,1304,178,TRUE,6,711
soybeans,15.68,1/22/2022,07-10-2020,medium,26.19,107.36,462,4068.23,10/28/2020,Alluvial,Pineapple,Punjab,8039,908,TRUE,10,422
wheat,75.32,6/30/2022,5/21/2020,high,1.97,17.4,463,4471.87,05-03-2022,Loamy,Onion,Uttar Pradesh,517,54,TRUE,3,607
wheat,42.38,12/26/2022,6/20/2022,high,0.64,43.91,464,2175.19,10-12-2020,Peaty,Onion,Andhra Pradesh,9352,420,FALSE,10,183
wheat,8.92,01-01-2021,01-11-2022,low,39.44,-3.52,465,8106.46,04-09-2022,Black,Cashew,Gujarat,4188,629,FALSE,3,390
wheat,72.36,1/19/2022,9/13/2022,low,17.06,114.81,466,2430.18,5/27/2020,Saline,Apple,Rajasthan,7523,533,TRUE,7,669
cotton,3.64,2/26/2020,06-09-2021,low,11.28,38.22,467,2038.91,01-03-2022,Mountain,Cotton,Telangana,2800,966,FALSE,6,967
corn,1.48,12/26/2022,11/16/2022,high,8.35,58.38,468,655.68,11/13/2021,Red,Pineapple,Telangana,7108,164,TRUE,3,513
corn,91.03,10-10-2020,2/17/2021,high,22.51,56.6,469,9785.63,5/22/2020,Laterite,Coffee,Haryana,6650,641,TRUE,9,106
cotton,87.41,12-07-2021,8/27/2022,low,28.04,-11.95,470,4925.33,3/22/2022,Laterite,Chickpea,Uttar Pradesh,3606,403,TRUE,10,738
soybeans,69.49,05-01-2022,05-10-2020,high,34.35,1.88,471,5895.82,10-08-2022,Desert,Tobacco,Chhattisgarh,8330,543,FALSE,8,726
wheat,13.3,7/23/2021,07-06-2020,medium,21.44,2.85,472,1182.47,11/15/2020,Desert,Onion,Andhra Pradesh,7509,894,FALSE,6,824
rice,71.4,12/29/2020,3/23/2020,high,34.48,12.87,473,728.04,10/29/2020,Laterite,Vegetables,Uttarakhand,6273,652,TRUE,4,887
corn,42.93,9/18/2022,4/13/2022,high,29.42,47.7,474,4169.62,07-10-2022,Red,Ragi,Uttarakhand,1043,292,TRUE,2,813
wheat,14.34,06-03-2020,03-10-2021,high,42.34,81.84,475,6676.76,06-10-2022,Laterite,Chickpea,Bihar,3989,713,FALSE,3,416
cotton,4.17,4/21/2021,03-05-2020,low,34.34,-6.35,476,6386.82,12/29/2022,Red,Soybean,Punjab,6720,944,FALSE,10,738
corn,10.71,11/23/2022,5/27/2022,low,47.47,41.62,477,2118.33,8/26/2021,Alluvial,Mustard,Karnataka,7168,884,FALSE,3,734
corn,9.27,12/24/2021,04-09-2020,high,7.57,53.64,478,1377.96,3/27/2020,Peaty,Apple,Telangana,6088,988,FALSE,6,39
cotton,98.64,7/18/2021,10/26/2022,high,30.38,111.86,479,9166.86,02-07-2021,Red,Millets,Telangana,629,356,TRUE,7,769
rice,10.18,11-01-2020,2/18/2022,low,37.8,79.37,480,8611.84,2/19/2021,Black,Peanut,Assam,2509,714,TRUE,6,934
cotton,67.18,12-09-2020,8/28/2020,medium,30.33,92.51,481,8088.03,7/14/2022,Desert,Date Palm,Punjab,9243,98,TRUE,4,320
corn,3.43,9/24/2022,05-11-2022,medium,36.42,-7.12,482,7478.21,07-07-2021,Peaty,Cotton,Kerala,6059,801,TRUE,5,259
rice,14.41,09-11-2020,1/19/2020,medium,33.95,64.53,483,4869.63,8/25/2022,Red,Pineapple,Himachal Pradesh,6232,423,FALSE,4,785
wheat,91.96,4/19/2020,04-06-2022,low,11.83,69.95,484,9654.47,10-04-2021,Peaty,Mustard,Kerala,8963,928,TRUE,7,814
soybeans,43.64,11-06-2020,8/22/2020,low,36.14,69.42,485,739.53,01-05-2022,Black,Ragi,Maharashtra,4326,606,TRUE,2,44
wheat,39.12,8/20/2022,07-12-2022,high,12.39,81.22,486,8518.73,11-05-2021,Alluvial,Bajra (Pearl Millet),Madhya Pradesh,2833,139,TRUE,5,835
corn,95.82,3/19/2020,04-10-2022,low,22.04,7.44,487,7841.89,4/20/2022,Mountain,Apple,Kerala,7351,567,TRUE,5,347
cotton,80.65,1/23/2022,1/29/2020,low,30.88,50.63,488,7602.11,8/16/2022,Laterite,Sesame,West Bengal,6055,571,FALSE,1,283
soybeans,60.39,10/20/2020,10/17/2020,low,4.47,16.01,489,4891.48,5/27/2020,Clayey,Cashew,West Bengal,6452,851,TRUE,3,17
soybeans,13.86,5/13/2022,07-03-2021,high,39.3,5.4,490,1145.5,03-11-2020,Loamy,Ragi,Haryana,2809,140,TRUE,3,565
soybeans,20.18,05-09-2020,12-11-2022,low,23.42,83.16,491,6767.28,3/27/2021,Mountain,Tobacco,Assam,4083,803,TRUE,4,511
corn,37.33,09-11-2022,01-10-2020,medium,39.1,61.44,492,6457.04,03-02-2022,Red,Ragi,Haryana,9807,212,TRUE,10,823
cotton,88.89,11-03-2020,7/14/2020,high,10.23,68.59,493,2832.14,11/21/2022,Loamy,Date Palm,Jammu and Kashmir,963,166,TRUE,4,605
cotton,10.79,3/19/2020,02-12-2022,low,39.08,39.56,494,9890.25,11/14/2020,Desert,Groundnut,Maharashtra,1959,771,TRUE,2,26
corn,77.74,11/15/2020,6/18/2021,low,29.13,108.73,495,2106.04,09-10-2021,Desert,Date Palm,Haryana,6557,109,TRUE,7,98
cotton,65,02-04-2021,12/18/2021,low,14.73,-19.8,496,2775.04,05-02-2020,Alluvial,Soybean,Jammu and Kashmir,7071,6,TRUE,9,68
soybeans,11.32,8/25/2022,8/16/2022,medium,0.49,34.42,497,9957.45,08-06-2020,Mountain,Tur (Pigeon Pea),Andhra Pradesh,2058,584,TRUE,6,627
soybeans,49.72,03-05-2020,2/21/2021,high,3.26,78.44,498,2521.53,6/15/2020,Red,Sunflower,Uttar Pradesh,6661,497,FALSE,5,153
soybeans,50.77,07-05-2020,07-03-2022,high,32.63,5.93,499,8259.48,03-05-2022,Black,Areca nut,Punjab,6829,844,FALSE,5,274
wheat,92.84,03-03-2022,6/13/2020,high,17.96,21.02,500,4505.17,1/22/2021,Clayey,Peanut,Chhattisgarh,2610,697,FALSE,4,415
soybeans,76.6,4/15/2020,2/17/2020,medium,22.62,33.3,501,1770.29,8/25/2020,Red,Pulses,Himachal Pradesh,4330,359,TRUE,1,87
corn,11,11-09-2022,02-03-2021,low,21.89,28.64,502,8725.42,2/21/2022,Black,Millets,Himachal Pradesh,3728,61,TRUE,2,705
corn,56.44,11/13/2022,8/28/2022,low,25.93,23.76,503,1685.31,5/18/2020,Loamy,Tur (Pigeon Pea),Gujarat,3209,87,FALSE,10,28
cotton,66.05,4/20/2022,6/20/2021,medium,32.7,19.25,504,5273.64,03-12-2021,Peaty,Plum,Haryana,1359,1,TRUE,5,226
rice,81.57,05-07-2022,11/24/2021,low,16.06,100.38,505,6415.17,5/15/2022,Loamy,Sunflower,Uttarakhand,6111,449,FALSE,4,549
rice,31.08,10-07-2022,6/16/2022,medium,38.27,52.98,506,6115.37,2/26/2022,Loamy,Groundnut,West Bengal,4459,590,FALSE,4,462
cotton,2.65,2/19/2020,3/31/2022,medium,20.23,92.74,507,6983.48,12-09-2022,Loamy,Maize,Odisha,5024,336,TRUE,5,630
corn,31.64,04-11-2022,9/19/2022,low,22.16,36.83,508,8307.34,07-08-2022,Black,Soybean,Haryana,2001,657,FALSE,3,664
wheat,59.68,9/15/2020,12-12-2022,medium,0.19,27.86,509,3739.61,03-09-2022,Loamy,Wheat,Tamil Nadu,9682,551,TRUE,6,411
rice,71.45,7/18/2020,11/14/2022,medium,39.83,47.36,510,248.01,6/28/2022,Red,Apple,Karnataka,7122,542,TRUE,8,779
cotton,75.39,08-07-2022,11/21/2021,medium,32.74,-1.9,511,4858.25,09-07-2020,Loamy,Wheat,Assam,9002,21,FALSE,5,400
soybeans,97.99,7/24/2022,8/28/2022,high,29.58,3.12,512,6171.94,04-03-2020,Mountain,Jute,Uttarakhand,962,199,FALSE,7,440
rice,64.4,12/23/2020,10-06-2021,high,8.48,42.87,513,7903.09,1/28/2020,Black,Soybean,Uttarakhand,9099,126,FALSE,2,518
cotton,0.6,6/17/2020,11/30/2020,medium,16.33,7.23,514,4746.41,2/24/2020,Loamy,Lentil,Karnataka,9667,369,FALSE,1,944
soybeans,41.48,03-09-2020,08-12-2022,low,11.47,111.5,515,8375.54,1/17/2020,Alluvial,Peach,Andhra Pradesh,745,914,FALSE,10,292
cotton,63.16,4/17/2020,2/19/2021,high,47.99,-18.12,516,9826.88,11-03-2021,Loamy,Wheat,Himachal Pradesh,7087,994,TRUE,3,988
cotton,89.37,9/21/2020,12-08-2022,medium,39.79,6.47,517,96.38,3/17/2021,Clayey,Ragi,Andhra Pradesh,5930,909,FALSE,2,884
corn,93.29,9/16/2020,10-03-2022,low,27.29,112.76,518,403.35,07-07-2020,Saline,Cashew,Madhya Pradesh,7669,774,FALSE,3,230
wheat,72.47,9/26/2022,01-08-2022,low,1.35,57.39,519,6066.94,05-11-2021,Desert,Sorghum,Uttarakhand,1164,421,TRUE,8,25
corn,46.52,2/19/2020,4/25/2022,high,29.98,-8.54,520,1167.46,7/17/2021,Laterite,Vegetables,Himachal Pradesh,4679,972,TRUE,2,932
rice,61.45,6/30/2020,6/25/2021,high,6.79,-2.98,521,8074.9,2/27/2022,Red,Sugarcane,Maharashtra,1412,951,TRUE,10,225
cotton,73.15,4/13/2020,6/15/2020,high,31.82,-18.47,522,5414.5,03-12-2022,Clayey,Chickpea,Assam,4442,169,TRUE,6,375
corn,19.66,8/21/2020,1/30/2020,medium,28.7,51.09,523,3470.26,07-06-2022,Black,Sunflower,Kerala,1928,194,TRUE,1,861
cotton,54.34,9/16/2022,11/14/2021,low,26.64,11.05,524,3558.39,4/20/2021,Saline,Sorghum,Odisha,2142,228,FALSE,3,519
wheat,81.48,06-04-2021,04-07-2021,low,8.04,102.92,525,6355.87,1/17/2020,Black,Cashew,Maharashtra,6080,982,TRUE,1,362
cotton,11.13,04-05-2021,2/13/2020,high,18.02,97.62,526,1220.3,12/22/2021,Black,Sunflower,Telangana,8809,167,FALSE,6,568
soybeans,38.44,10/16/2020,02-04-2020,medium,24.02,18.3,527,3548.94,2/13/2020,Black,Tea,Assam,3960,853,FALSE,6,132
rice,59.74,11-02-2020,5/13/2021,high,13.36,78.82,528,6251.94,7/28/2020,Alluvial,Plum,Maharashtra,6757,50,TRUE,5,443
cotton,55.69,6/18/2020,11/17/2021,medium,32.57,-0.13,529,1739.79,11/29/2020,Clayey,Onion,Rajasthan,7872,180,TRUE,5,757
soybeans,77.2,12-08-2021,10/28/2022,high,33.36,65.99,530,3044.52,8/18/2020,Mountain,Coriander,Jammu and Kashmir,7803,564,FALSE,2,663
wheat,94.48,2/23/2022,12/19/2021,low,3.14,1.71,531,2850.13,09-02-2020,Black,Bajra (Pearl Millet),Telangana,1299,215,FALSE,4,100
rice,20.17,5/25/2021,10/15/2020,medium,12.41,-16.95,532,2580.61,09-11-2022,Red,Groundnut,Andhra Pradesh,3467,885,TRUE,7,91
soybeans,49.31,6/25/2022,08-01-2020,low,49.07,63.94,533,1770.46,8/21/2022,Laterite,Cotton,Bihar,5554,437,TRUE,6,118
wheat,0.54,4/27/2022,1/31/2020,low,0.72,51.65,534,7416.48,11-05-2021,Laterite,Pulses,Uttar Pradesh,8346,544,TRUE,3,170
soybeans,25.56,12-06-2022,10/24/2021,medium,30.62,108.56,535,784.27,10/18/2021,Desert,Tea,Andhra Pradesh,3664,867,TRUE,8,508
cotton,0.74,4/27/2021,05-08-2020,medium,34.16,35.83,536,5174.54,7/20/2021,Mountain,Bajra (Pearl Millet),Andhra Pradesh,6810,413,TRUE,2,623
wheat,44.03,02-03-2020,08-06-2021,high,24.39,42.19,537,3107.6,11/14/2020,Clayey,Areca nut,Himachal Pradesh,7998,139,TRUE,5,340
wheat,66.73,7/15/2022,11/28/2022,high,48.91,23.9,538,1215.79,07-04-2022,Desert,Barley,Maharashtra,1044,11,TRUE,10,773
soybeans,9.6,11-10-2021,10-10-2020,high,23.9,60.1,539,344.92,11/20/2020,Laterite,Peanut,Rajasthan,349,312,FALSE,6,902
cotton,79.67,04-08-2021,3/28/2022,high,10.51,19.77,540,4758.76,9/18/2020,Desert,Sunflower,Telangana,6461,224,FALSE,7,62
corn,21.71,12-01-2020,10/27/2020,medium,37.2,92.64,541,7619.22,03-08-2022,Black,Coriander,Karnataka,6400,405,FALSE,3,7
wheat,38.01,12/15/2021,05-11-2022,high,32.78,65.87,542,442.8,9/27/2021,Red,Coriander,Gujarat,2392,184,FALSE,9,967
cotton,54.88,06-05-2022,08-01-2021,medium,8.89,69.63,543,7523.31,04-08-2021,Black,Pineapple,Karnataka,4518,421,FALSE,6,856
cotton,88.39,1/22/2022,2/14/2022,medium,44.45,61.14,544,5959.04,7/22/2021,Clayey,Chickpea,Kerala,4436,222,FALSE,4,250
wheat,85.8,12/13/2020,9/18/2020,high,7.34,30.2,545,8656.18,06-11-2021,Peaty,Vegetables,Rajasthan,6960,375,TRUE,9,132
corn,53.37,9/17/2021,9/19/2020,medium,26.29,79.88,546,2822.23,05-09-2020,Laterite,Coriander,Bihar,3429,959,TRUE,7,744
cotton,1.22,05-06-2021,12/30/2022,medium,34.3,72.52,547,1494.36,11/18/2021,Alluvial,Potato,Chhattisgarh,2231,97,FALSE,2,643
cotton,66.7,12-03-2021,04-01-2020,low,7.44,109.72,548,7866.78,07-11-2020,Desert,Coriander,Uttarakhand,6643,272,TRUE,9,433
wheat,89.89,03-02-2022,11-10-2020,high,10.62,47.57,549,2068.33,03-04-2020,Alluvial,Mustard,Karnataka,7706,4,FALSE,8,542
rice,1.49,3/14/2021,10-12-2021,low,29.5,91.92,550,2785.11,12-06-2021,Saline,Sesame,Maharashtra,3897,296,FALSE,4,976
cotton,20.21,12/24/2021,6/16/2022,low,3.32,-13.4,551,3745.47,2/15/2021,Clayey,Potato,Madhya Pradesh,6239,511,TRUE,3,809
soybeans,66.58,11/17/2020,07-06-2021,high,27.11,97.93,552,6756.51,12/23/2022,Desert,Bajra (Pearl Millet),Jammu and Kashmir,3879,362,FALSE,6,536
rice,21.09,1/18/2021,11/13/2022,high,28.42,65.96,553,3658.31,5/23/2022,Alluvial,Groundnut,Assam,9024,748,FALSE,9,757
cotton,70.56,3/25/2020,3/22/2021,low,26.56,-8.45,554,1009.72,05-01-2020,Desert,Barley,Gujarat,3193,971,TRUE,5,801
soybeans,37.48,1/31/2020,7/22/2020,high,35.26,109.51,555,2091.03,8/16/2021,Clayey,Maize,Bihar,2360,251,TRUE,1,900
soybeans,10.99,4/15/2022,06-04-2021,medium,10.62,29.85,556,6305.79,4/24/2020,Peaty,Cabbage,Karnataka,260,910,FALSE,2,93
rice,65.5,5/31/2021,4/23/2021,high,31.32,15.48,557,898.69,05-09-2020,Red,Rice,Andhra Pradesh,149,537,FALSE,1,130
corn,16.96,7/22/2021,11/26/2020,high,20.17,6.89,558,8744.4,06-11-2022,Clayey,Tea,Karnataka,5191,328,TRUE,9,918
soybeans,52.46,04-10-2020,6/26/2020,low,37.95,35.99,559,8774.35,7/21/2020,Desert,Apple,Gujarat,3868,492,TRUE,7,526
corn,38.55,1/14/2021,7/16/2021,low,49.99,10.92,560,1754.98,6/21/2021,Laterite,Sunflower,Bihar,1649,304,FALSE,9,828
corn,70.2,05-10-2022,8/14/2021,medium,27.06,82.49,561,8114.76,1/15/2020,Peaty,Tea,Assam,8930,313,TRUE,9,876
wheat,99.62,3/25/2022,1/25/2020,low,42.09,13.84,562,2774.62,03-04-2022,Alluvial,Peach,Maharashtra,1689,396,TRUE,4,630
soybeans,78.37,11-11-2022,12-04-2020,high,19.93,92.18,563,3641.28,6/17/2022,Peaty,Maize,Uttar Pradesh,7811,495,TRUE,1,676
soybeans,11.27,07-01-2022,7/13/2021,medium,34.24,-18.17,564,9329.09,08-10-2020,Saline,Guar,Maharashtra,4690,191,TRUE,10,172
cotton,2.35,11/17/2021,5/22/2022,medium,41.49,30.04,565,5288.68,4/22/2020,Red,Potato,Madhya Pradesh,9030,304,TRUE,1,363
corn,36.93,07-12-2020,10/16/2022,high,26.76,74.37,566,5230.15,12/15/2021,Red,Areca nut,Odisha,504,594,TRUE,8,623
corn,22.23,10/16/2022,02-05-2020,low,25.09,22.46,567,3654.34,06-02-2021,Saline,Plum,Kerala,4981,373,FALSE,6,117
corn,39.79,2/20/2020,9/26/2022,high,45.95,73.57,568,4885.53,12/31/2020,Saline,Pineapple,Himachal Pradesh,99,246,FALSE,6,206
soybeans,12.56,9/18/2021,02-09-2021,high,0.13,32.96,569,1761.34,11-11-2021,Black,Maize,Chhattisgarh,6081,31,FALSE,1,677
wheat,12.2,4/25/2020,8/29/2022,medium,3.08,95.8,570,225.77,5/20/2021,Loamy,Peach,Karnataka,1997,253,TRUE,8,685
corn,94.6,5/23/2021,10/20/2020,medium,2.38,83.09,571,3589.33,09-11-2022,Loamy,Bajra (Pearl Millet),Bihar,5430,676,TRUE,10,361
corn,94.1,9/14/2020,5/22/2022,high,28.71,28.24,572,5499.43,9/23/2022,Mountain,Plum,Tamil Nadu,3179,912,FALSE,2,996
cotton,98.32,11/25/2022,12/27/2021,low,3.82,80.92,573,2994.61,11-07-2020,Peaty,Plum,Karnataka,5074,401,TRUE,8,218
soybeans,68.56,03-08-2021,2/22/2021,low,13.66,108.59,574,3920.81,6/30/2021,Peaty,Mustard,Bihar,3539,560,FALSE,2,912
wheat,91.56,12/18/2022,09-02-2022,medium,29.78,81.13,575,3943.76,7/23/2022,Red,Millets,Uttarakhand,2102,455,FALSE,3,253
cotton,12.58,2/21/2022,3/19/2022,high,1.66,40.16,576,895.3,9/28/2022,Mountain,Sorghum,Tamil Nadu,4265,268,FALSE,3,65
corn,86.59,1/15/2022,12/26/2020,medium,23.97,59.65,577,8150.23,03-01-2020,Red,Onion,Karnataka,7312,588,FALSE,3,634
wheat,33.91,2/26/2020,07-02-2020,low,16.92,36.38,578,7078.12,2/20/2021,Saline,Sugarcane,Jammu and Kashmir,1053,113,FALSE,10,641
rice,54.05,2/19/2020,07-06-2021,low,7.23,96.22,579,7816.19,12/29/2020,Clayey,Vegetables,Karnataka,5233,682,TRUE,4,941
rice,17.09,04-01-2021,9/13/2022,medium,34.64,70.98,580,2628.53,08-10-2021,Peaty,Chickpea,Odisha,7526,258,FALSE,7,632
cotton,84.14,9/15/2022,2/13/2020,medium,44.82,20.49,581,1323.63,6/17/2022,Desert,Vegetables,Uttar Pradesh,7350,274,TRUE,10,906
corn,96.07,3/20/2021,12-05-2021,low,41.45,49.51,582,5567.24,12/22/2020,Saline,Cumin,Himachal Pradesh,1840,316,FALSE,9,970
soybeans,43.34,6/17/2022,01-10-2020,low,24.26,55.99,583,4850.79,10-04-2020,Laterite,Maize,Haryana,4623,14,TRUE,8,191
corn,4.65,01-12-2020,7/23/2021,high,41.97,2.42,584,4657.6,5/15/2021,Laterite,Areca nut,Maharashtra,9463,33,TRUE,10,481
